"oppcall","timespan","laghome","goaldiff","inrow2"
1,22.73333,0,0,0
1,14.5,1,1,0
1,1.216667,0,0,1
0,3.916667,1,1,0
1,6.2,1,-1,0
1,6.95,1,0,0
1,9.583333,1,2,1
0,2.016667,1,-1,1
1,0.35,0,-2,1
1,3.433333,1,2,1
1,1.75,1,-2,0
0,11.71667,0,0,0
0,1.133333,1,-2,1
0,2.7,1,1,0
0,6.3,0,0,0
0,5.3,1,-1,0
1,6.15,0,0,0
1,0.4333333,1,-2,1
1,4.5,0,-5,0
0,0.9166667,0,-4,0
1,4.516667,1,-2,1
0,14.11667,1,-1,0
0,3.416667,0,-1,0
0,17.88333,1,3,1
1,3.266667,1,0,0
0,2.916667,0,0,0
1,2.95,0,0,1
0,6.35,0,-1,1
1,18.01667,0,1,1
0,16.38333,0,1,0
1,3.25,0,-2,0
1,7.916667,1,1,0
1,1.1,1,0,0
0,6.85,0,2,1
1,6.566667,0,-6,1
0,0.3333333,0,0,0
1,6.816667,1,0,0
1,4.733333,0,-1,0
1,1.85,0,-2,1
1,4.766667,0,1,1
1,11.83333,1,1,0
1,12.5,1,0,0
1,1.15,1,0,1
1,2.333333,1,0,0
0,5.166667,1,1,0
1,2.533333,0,-1,0
1,20,0,0,1
0,6.45,0,-2,0
1,1.316667,0,1,1
1,1.5,1,0,0
1,7.4,0,2,0
1,6.933333,0,-1,1
0,6.483333,0,0,0
0,4.483333,1,-2,0
0,2.533333,1,1,0
0,1.883333,0,-2,0
1,1.266667,0,0,1
1,2.033333,0,2,0
1,13.85,1,0,0
0,2.016667,1,1,0
0,6.05,1,-1,0
0,4.266667,1,2,0
1,1.766667,0,0,0
0,9.15,1,3,1
0,14.63333,1,0,0
0,3.616667,0,4,1
1,0.8833333,0,2,1
0,5.016667,0,4,0
1,4.283333,1,-2,0
1,7.483333,1,-1,0
0,10.08333,0,0,1
0,2.433333,1,1,1
0,6.7,1,-1,0
1,8.066667,1,0,0
0,1.633333,1,2,1
1,9.883333,0,-1,1
0,6.3,1,0,1
0,3.95,1,1,0
1,26.58333,1,-1,0
1,4.433333,1,-2,0
1,2.983333,0,2,0
1,7.65,0,-2,0
0,2.966667,0,0,1
0,7.7,0,1,0
0,3.366667,0,0,0
1,0.7666667,1,-1,0
0,3.45,1,1,0
0,13.53333,1,2,1
1,10.21667,0,-4,0
1,2.166667,0,2,0
1,2.233333,0,0,1
0,0.75,1,-3,0
0,4.35,1,0,0
0,5.45,1,2,0
1,6.516667,1,1,0
1,3.883333,1,-2,0
1,3.183333,0,0,0
1,5.016667,1,0,1
0,0.4833333,1,-1,1
1,9.9,0,-2,0
0,0.5,0,-1,0
1,7.6,0,0,0
0,9.716667,1,-2,0
0,2.733333,1,0,0
1,4.733333,0,-2,1
1,2.966667,0,4,1
0,16.81667,1,0,0
0,12.11667,0,-1,0
1,10.33333,0,1,0
1,2.15,1,2,0
1,6.35,1,-1,1
1,14.05,1,-2,0
1,2.666667,0,-2,0
1,9.233333,0,2,1
0,6.966667,0,1,0
0,1.95,0,-3,1
1,1.133333,0,0,0
1,9.583333,0,0,1
1,3.183333,0,0,0
1,4.15,1,-2,0
0,7.2,1,1,0
1,5.2,1,-1,0
0,22.05,1,-1,1
1,2.05,0,-1,0
1,2.1,0,-1,1
1,11.86667,1,-1,1
0,7.8,0,1,0
1,9.183333,1,0,1
0,0.6333333,1,1,1
0,13.28333,0,0,0
1,8.433333,1,0,0
1,5.316667,0,0,0
0,3.616667,0,0,1
1,1.45,1,1,1
0,7.9,1,-1,0
0,4.883333,0,-2,0
0,11.4,0,-3,0
1,1.283333,0,0,0
0,6.816667,0,0,1
0,13.63333,1,0,0
1,5.5,1,1,0
1,4.8,0,-1,0
0,5.233333,0,1,0
1,2,1,3,1
1,4.9,0,0,0
0,3.733333,0,2,0
0,8.116667,1,3,0
1,3.45,1,1,1
1,0.55,0,1,1
0,9.066667,0,-1,0
1,10.15,0,-3,1
0,4.366667,0,0,1
1,5.233333,1,-2,1
1,11.75,0,0,1
1,8.9,0,1,0
1,3.666667,0,-2,0
0,0.7333333,0,-1,0
0,1.45,0,0,0
1,3.166667,1,1,0
0,8.233333,1,2,0
1,8.433333,0,1,0
0,15.51667,0,1,0
0,8.183333,1,2,0
1,0.6166667,0,3,0
1,5.8,1,1,0
1,3.383333,1,0,0
1,5.25,1,-1,0
1,14.35,1,3,1
1,3.333333,1,-1,1
1,9.733333,0,1,0
1,2.016667,0,0,0
1,1.566667,1,2,1
1,6.016667,0,2,1
1,7.85,0,-1,0
1,3.866667,0,4,1
1,1.266667,0,1,1
0,5.083333,0,-1,0
0,4.616667,1,0,0
0,0.6666667,0,1,0
1,1.616667,1,-2,1
0,4.7,1,-3,0
0,7.533333,1,2,1
1,2.816667,0,0,0
0,4.266667,1,-1,0
0,0.55,1,-7,0
1,8.833333,0,-2,0
0,4.833333,0,0,0
1,2.716667,0,-1,1
1,9.116667,1,1,0
1,19.91667,0,0,1
1,15.03333,1,1,0
1,0.8166667,1,0,0
1,2.966667,1,2,0
0,4.2,1,-1,0
1,1.083333,0,-1,1
1,1.45,0,-3,1
1,2.483333,0,0,0
0,2.55,1,-2,0
1,16.36667,1,0,0
1,2,0,2,0
1,5.65,1,-4,1
1,0.3166667,1,-3,0
1,2.083333,1,-1,1
0,3.616667,0,-2,0
1,2.75,0,-2,0
1,18.58333,1,1,1
0,7.616667,0,1,1
1,0.5833333,1,-1,0
1,23,0,0,0
1,1,0,-1,0
1,0.4833333,0,-1,1
0,9.566667,0,-5,0
0,0.25,1,-2,1
0,2.55,0,1,0
0,3.066667,0,-1,1
0,2.133333,1,0,0
1,4.05,1,-1,0
0,12.23333,0,0,0
0,2.066667,1,-2,1
0,25.28333,0,2,0
1,3.45,0,0,1
1,10.25,0,-3,1
0,5.85,0,1,0
1,8.733333,1,0,1
1,2.333333,1,-2,0
1,8.85,1,3,0
0,3.883333,1,3,0
1,2.116667,1,1,1
1,3.333333,0,2,0
1,1.683333,0,1,0
1,11.1,0,2,0
1,5.333333,0,0,1
0,7.266667,0,-1,0
1,3.983333,0,-5,1
0,12.1,1,1,0
1,18.2,0,-1,0
0,1.15,0,1,1
1,1.833333,1,-1,0
1,19.98333,1,2,0
1,4.033333,0,-1,0
0,2.9,1,1,0
1,5.1,0,0,1
1,3.016667,1,2,0
1,10.3,1,-3,0
1,1.666667,1,1,0
1,3.633333,0,-4,1
1,2.6,1,-1,0
0,3.033333,0,2,0
0,6.35,0,-1,0
1,15.25,0,-2,1
1,4.466667,1,0,0
0,9.133333,0,1,1
1,6.333333,0,2,0
0,1.433333,1,0,0
1,12.23333,1,0,0
0,4.466667,1,2,0
1,3.866667,0,-1,0
0,2.6,1,-1,0
1,3.183333,1,1,1
0,3.616667,0,-1,1
1,3.733333,1,0,0
1,7.666667,1,-1,0
1,0.8166667,0,-3,0
0,9.266667,1,0,0
0,10.38333,1,4,0
0,4.383333,0,0,0
0,2.883333,0,2,0
1,1.216667,0,-3,1
1,1.033333,1,2,0
1,5.416667,0,1,0
1,2.616667,0,2,0
1,16.16667,1,-2,1
0,4.516667,0,1,0
0,4.8,0,-1,0
1,6,0,-1,0
1,6.65,1,-1,0
1,8.183333,0,2,0
1,6.95,0,-3,0
0,14.46667,1,-1,0
0,6.716667,1,1,0
0,4.266667,0,3,0
1,4.866667,1,2,0
0,0.7333333,1,1,0
1,4.866667,0,0,0
1,21.98333,0,4,0
1,1.766667,0,-2,0
1,3.15,0,-1,0
1,0.1333333,0,-2,1
0,5.666667,0,1,0
1,1.483333,1,-2,1
0,7,0,0,0
0,4.583333,0,1,0
1,3.283333,1,1,1
0,9.833333,1,-1,0
1,3.466667,1,1,0
1,0.7333333,1,-2,1
1,6.55,1,1,0
1,3.55,1,-3,1
1,7,0,-1,0
1,2.3,1,1,0
1,2.8,0,0,0
1,6.55,1,2,0
1,17.41667,1,0,1
1,2.633333,1,0,0
0,5.15,1,-1,1
1,7.35,1,-1,0
1,2.15,0,0,0
1,8.966667,0,-2,0
1,5.45,1,0,0
0,5.916667,0,-2,1
0,1.433333,1,-2,0
0,3.066667,1,-2,1
0,2.833333,1,2,1
1,2.716667,0,1,0
0,3.166667,0,2,1
1,1.95,0,0,0
1,6.883333,0,0,0
1,10.56667,0,-4,1
1,0.08333333,1,-3,1
0,7.583333,0,0,0
1,8.983333,1,-3,0
1,4.833333,0,-1,1
1,5.216667,1,-2,1
1,10.78333,1,-2,0
1,2.433333,1,3,1
0,3.466667,0,0,0
1,13.6,1,-1,0
1,6,0,-1,1
1,4.533333,1,1,0
1,15.5,1,-1,1
0,3.466667,1,-2,1
0,0.2666667,1,0,0
1,3.183333,1,0,0
1,7.1,1,1,0
1,10.01667,1,-1,1
0,6.583333,0,2,0
0,15.61667,1,2,0
1,9.683333,1,2,0
1,5.866667,0,-1,0
1,4.2,1,-2,1
1,1.933333,0,1,0
1,3.166667,0,1,1
1,1.466667,0,1,0
1,2.983333,1,0,0
0,2.2,1,1,1
1,2.816667,1,-3,1
0,1.233333,0,0,0
0,3.366667,0,0,0
1,7.816667,0,-1,0
1,26.6,1,-1,0
0,3.8,1,-1,1
0,1.283333,1,1,0
1,15.08333,0,1,1
0,5.583333,1,-2,1
0,1.066667,0,0,1
0,15.4,0,0,1
0,2.8,1,3,0
0,1.116667,0,0,0
0,3.3,1,2,0
1,8.3,0,1,0
0,2.5,0,-5,1
1,15.76667,0,6,1
1,1.816667,0,-1,0
1,2.016667,0,1,1
1,6.733333,0,-3,1
1,7.35,0,0,1
1,3.466667,1,0,0
1,2.116667,1,-1,1
1,2.466667,1,1,0
1,3.083333,0,2,1
1,1.166667,0,0,1
0,14.75,0,-2,1
0,0.6333333,1,-1,1
0,25.73333,0,-1,0
1,9.35,0,-2,0
1,1.55,1,-4,1
0,1,1,2,0
1,3,0,-1,1
1,3.566667,1,1,0
1,13.8,1,-4,0
0,4.183333,1,1,1
0,3.533333,0,0,0
0,2.566667,0,0,0
0,7.616667,0,2,1
0,5.85,0,-2,0
1,13.21667,0,3,1
1,2.483333,1,-3,0
0,2.733333,0,1,0
0,5.933333,1,-1,1
1,12.23333,1,-1,0
1,3.3,1,-3,0
1,6.3,0,0,0
1,3.9,0,0,0
1,2.866667,1,1,1
0,19.36667,1,1,0
1,5.35,0,-1,0
1,0.4166667,0,3,1
0,1.2,0,-1,1
0,2.366667,0,0,1
0,2.85,1,0,0
0,5.85,0,0,0
0,6.3,0,0,0
1,12.58333,0,2,0
1,12.36667,1,0,0
0,10.55,0,-4,0
0,6.8,1,0,0
1,12.7,1,0,0
0,4.4,0,1,0
0,4.416667,1,1,0
0,18.23333,0,-2,0
0,0.8833333,0,3,0
1,0.1333333,1,2,1
1,0.7666667,0,2,0
0,2.316667,0,1,0
1,11.31667,1,2,0
0,2.216667,0,0,0
1,16.21667,0,1,0
1,3.983333,1,2,0
1,17.91667,1,1,1
1,10.55,1,3,1
1,16.3,0,-1,0
0,11.68333,0,-1,0
1,5.15,0,-1,0
1,0.9666667,1,-1,0
0,7.933333,0,0,1
1,2.566667,1,2,0
1,1.283333,1,1,0
0,3.933333,0,0,0
1,8.983333,1,1,1
0,3.05,1,-1,0
0,6.683333,0,2,0
1,2.633333,1,1,1
0,5.583333,1,0,0
1,12.96667,1,0,1
0,3.966667,0,2,0
0,3.85,0,1,0
1,8.333333,1,0,1
0,5.116667,0,0,0
0,6.883333,0,0,0
1,2.05,1,-1,1
1,2.383333,1,-1,0
1,5.983333,1,1,1
1,10.56667,1,-1,1
0,4.266667,1,-2,1
1,4.3,0,-2,1
0,3.2,1,0,0
0,5.6,0,0,1
1,2.033333,0,-1,1
1,4.433333,1,-1,0
1,2.566667,1,-1,0
1,27.28333,1,1,1
1,1.616667,1,-3,0
0,3.8,0,1,1
1,5.833333,1,0,0
1,4.633333,0,0,0
1,2.133333,0,0,1
1,8.683333,0,-1,0
0,8.25,0,2,0
0,9.583333,1,0,0
1,1.633333,1,-1,1
0,4.933333,0,1,0
1,2.933333,0,2,1
1,0.2833333,0,-1,1
0,7.666667,0,1,0
0,2.366667,1,2,0
1,5.633333,0,-1,0
1,5.566667,0,1,1
1,25.36667,1,-1,1
1,8.883333,1,-1,1
1,11.91667,1,1,1
1,2.483333,1,-1,1
0,2.333333,0,-1,0
1,6.183333,0,0,0
1,1.666667,0,2,0
1,1.066667,0,1,0
0,19.91667,0,1,0
1,8.25,0,-1,0
0,3.916667,0,3,0
1,12.76667,1,-2,0
1,5.25,0,-4,1
1,6.766667,1,-1,1
0,9.55,0,0,1
0,10.03333,0,0,1
0,6.4,0,3,1
1,1.516667,1,-1,0
0,6.716667,0,-1,1
1,3.083333,0,1,0
1,12.58333,1,1,1
0,21.6,0,0,0
0,1.416667,1,-1,0
0,5.183333,1,-5,0
1,2.916667,1,-1,1
1,0.1333333,0,0,1
1,2.05,0,-2,0
1,5.833333,1,1,0
0,0.2166667,0,-1,0
0,12.38333,0,0,0
0,2.416667,0,0,0
0,0.3,0,-2,1
1,0.7166667,1,0,0
1,2.3,1,-1,0
0,10.18333,1,2,1
1,7.833333,0,0,1
0,3.633333,0,1,1
0,3.416667,0,-2,0
0,4.4,1,2,0
1,2.216667,0,0,1
1,7.183333,1,-1,0
0,6.666667,0,2,1
0,7.4,1,1,0
0,5.083333,1,5,1
0,2.583333,0,2,0
0,3.033333,0,-1,0
1,4.216667,0,1,1
1,3.533333,0,0,0
0,1.45,1,0,0
0,2.15,1,0,0
0,2.383333,0,-2,0
1,2.75,1,-1,0
0,2.666667,0,0,0
0,1.55,1,2,0
1,0.75,0,0,1
0,9.45,0,1,0
0,0.2,0,2,1
0,2.033333,1,3,0
1,21.7,1,-1,1
0,10.35,0,2,0
1,3.25,0,0,0
1,2.833333,1,0,0
1,0.1833333,0,-3,0
1,1.483333,0,-1,0
1,2.05,1,1,0
0,15.01667,1,-1,1
0,13.36667,0,0,0
0,4.35,1,1,0
1,2.55,1,1,0
0,2.383333,1,-1,0
0,18.11667,0,3,1
1,0.8166667,0,-1,1
1,1.933333,1,0,0
1,20.73333,1,0,0
1,3.066667,0,-3,0
1,13.2,0,-2,0
0,8.466667,0,-1,1
1,8.916667,0,2,0
0,4.116667,0,0,0
0,12.38333,1,2,1
0,0.1666667,0,0,0
1,5.966667,0,-1,1
1,15.08333,0,-3,0
1,10.65,0,1,0
0,7.866667,0,1,0
0,10.4,0,0,0
1,2.833333,0,0,1
0,1.533333,1,-4,0
1,6.2,0,0,0
1,0.4333333,0,1,1
1,5.833333,1,-1,1
0,8.05,0,-2,1
1,7.2,0,-1,1
0,2.883333,1,0,0
1,4.433333,1,-1,0
1,2,1,-1,0
0,6.016667,0,0,0
1,4.983333,1,-3,0
0,7.466667,0,1,0
0,3.55,1,-3,0
0,1.083333,0,0,1
0,2.683333,0,0,0
1,9.15,1,1,1
1,2.066667,1,-1,1
1,1.166667,1,0,1
0,2.983333,0,0,1
1,3.25,0,-1,1
0,0.9666667,1,2,0
1,1.116667,0,0,0
0,7.033333,0,0,1
0,16.85,1,2,0
1,10.9,0,3,1
1,1.083333,1,3,0
1,5.6,1,-1,1
1,2.183333,0,-1,0
0,5.833333,0,1,0
0,3.433333,0,-1,0
0,5,1,0,1
1,11.15,0,0,1
1,15.08333,0,-6,1
1,6.3,0,-1,1
1,1.133333,0,2,0
1,3.35,0,0,0
0,2.65,1,2,0
1,4.45,1,3,1
1,4.633333,1,-2,0
0,10.38333,1,-2,0
0,6.5,1,1,0
1,3.866667,0,-1,0
1,2.766667,1,-1,1
0,16.51667,1,3,1
0,2.666667,0,1,0
1,1.8,0,-2,0
1,2.466667,0,1,0
1,16.91667,0,-2,0
1,2.466667,1,1,0
0,7.733333,0,-1,1
1,0.4166667,0,0,0
0,4.733333,1,1,1
0,6.1,1,0,0
1,8.633333,1,-2,1
0,5.6,0,1,1
1,11.98333,0,0,0
1,19.76667,0,0,0
1,2.666667,1,1,0
0,13.26667,0,0,0
0,5.4,1,0,0
0,6.033333,0,1,0
1,6.233333,1,2,0
0,2.15,1,0,0
1,22.65,0,-2,0
0,3.216667,1,0,0
1,3.433333,0,3,0
1,4.783333,1,2,0
0,15.46667,1,2,1
1,17.36667,1,1,0
1,5,0,-1,1
1,21.41667,0,0,0
1,3.5,0,-2,1
0,3.4,0,-2,0
1,0.9666667,0,0,0
1,2.833333,0,0,0
0,3.45,1,1,0
0,1.933333,1,-3,1
1,2.933333,0,1,1
0,6.316667,0,1,0
1,6.183333,0,1,1
1,10.23333,1,-2,0
1,1.9,0,-1,1
1,14.25,0,-1,0
0,9.15,1,2,0
0,14.61667,0,2,0
1,1.233333,1,3,1
1,2.883333,1,0,1
1,7.6,0,1,0
1,2.216667,1,1,1
0,11.88333,0,1,0
1,3.616667,0,1,1
1,3.6,0,0,0
1,5.1,0,0,0
1,1.033333,0,-1,0
1,5.883333,1,-1,0
1,1.6,0,0,0
1,8.883333,1,2,1
1,6.083333,1,-2,1
1,0.9166667,0,0,0
0,6.166667,1,2,0
0,2.683333,0,1,0
1,2.833333,0,-1,0
1,5.433333,1,0,1
0,3.866667,0,-3,0
0,2.85,0,2,1
0,1.35,1,0,1
0,3.083333,0,0,0
1,2.683333,1,0,0
0,0.2833333,0,0,1
1,5.066667,1,-1,0
1,19.03333,1,-1,1
1,2.066667,1,-1,1
1,2.6,1,-1,0
0,2.9,1,-1,0
0,13.85,1,-2,0
1,2.266667,1,-1,0
1,4.566667,0,-1,0
0,10.45,0,0,0
1,2.316667,1,1,0
0,16.11667,0,-1,0
0,6.166667,1,1,1
1,0.6666667,1,3,1
1,4.316667,0,-1,0
1,2.483333,0,2,1
0,6.066667,1,-1,0
1,12.2,1,-3,0
1,2.033333,0,-1,0
1,13.88333,0,3,0
1,14.8,0,-2,0
0,7.3,1,-1,0
1,5.833333,1,4,0
1,0.9666667,0,-1,0
1,11.18333,1,-2,1
0,2.983333,0,-1,1
1,1.383333,0,1,1
1,16.25,1,1,1
1,19.66667,1,-2,1
1,17.55,0,-1,1
0,1.616667,0,-1,0
1,11.56667,1,0,1
0,5.733333,0,-2,1
0,11.46667,1,3,0
1,2.116667,0,0,1
1,0.9833333,0,1,0
1,2.683333,1,-1,1
1,0.5833333,0,0,1
1,4.2,0,-4,0
1,6.35,0,-4,0
1,13.6,1,-1,0
1,8.216667,1,0,1
1,3.633333,0,1,0
1,7.183333,0,0,1
1,9.116667,1,3,1
1,4.9,1,1,1
1,11.41667,1,3,0
1,4.883333,1,-2,0
0,1.616667,0,0,0
1,17.7,0,-1,0
1,5.316667,1,0,1
1,5.15,0,0,1
1,4.166667,0,-1,0
1,10.71667,1,-3,1
1,10.63333,0,1,1
1,23.7,0,1,0
0,1.766667,0,1,0
0,11.86667,1,4,1
1,9.266667,0,0,0
1,14.35,0,0,1
0,1.3,1,0,1
1,0.8833333,0,0,0
0,6.783333,0,0,0
1,3.733333,0,-1,0
1,2.45,1,-1,0
1,2.15,0,-1,0
0,27.98333,0,2,1
0,15.31667,1,1,0
0,3.783333,0,0,0
1,5.133333,0,0,0
1,3.933333,1,2,0
1,1.566667,1,0,0
1,8.366667,0,0,0
0,11.35,1,-2,0
0,1.266667,1,1,0
0,1.933333,0,0,1
0,2.983333,1,-1,0
0,15.7,0,1,1
1,6.283333,1,2,0
0,2.333333,0,1,1
1,9.633333,1,-1,1
1,3.45,0,-3,1
1,0.3333333,0,-3,0
0,9.533333,1,1,0
1,3.016667,1,2,0
0,3.766667,0,1,1
0,0.3333333,0,-1,0
0,8.483333,0,0,0
1,9.516667,1,-1,1
0,6.683333,1,1,0
0,9.15,0,1,0
1,4.266667,0,0,0
0,3.366667,0,0,1
1,7.05,0,1,1
1,5.883333,1,-2,0
0,6.9,1,-4,0
1,2.816667,0,0,0
1,2.9,1,-3,1
0,10.25,1,0,0
0,4.866667,0,-1,1
0,2.066667,0,-1,1
1,12.55,1,1,1
1,2.316667,1,-1,0
1,6.566667,0,2,0
1,1.283333,0,0,1
0,24.28333,0,2,0
0,1.483333,0,3,1
1,1.316667,1,1,0
0,11.46667,1,-1,1
0,9.483333,0,-1,1
0,19.26667,0,3,0
1,5.3,1,-1,1
1,13.33333,1,0,0
1,4.966667,1,-1,1
0,3.466667,0,1,0
1,0.7333333,0,-1,0
1,7.383333,1,-1,0
0,5.283333,0,0,1
1,3.4,0,0,1
1,0.3166667,1,0,0
1,0.6333333,1,1,0
1,5.833333,0,0,1
1,0.4,1,0,1
0,4.266667,0,0,1
0,3.266667,0,1,0
1,6.883333,1,0,0
0,4.45,1,1,1
0,1.8,1,2,1
1,15.7,1,-1,0
1,4.416667,1,0,0
0,11.8,1,2,0
0,2.766667,0,0,0
0,1.883333,1,0,1
1,4.65,1,0,0
0,3.866667,1,2,0
1,1.6,1,-3,0
1,2.266667,1,-3,0
0,7.033333,0,-2,0
1,6.1,1,-1,1
1,2.616667,0,-2,0
1,12.21667,0,-2,0
1,7.05,1,1,1
0,5.416667,1,-1,0
1,1.633333,0,0,0
1,3.8,0,1,0
1,2.183333,0,2,0
0,2.083333,1,-1,1
1,2.883333,1,1,0
1,2.3,0,4,1
1,8.466667,0,0,0
1,3.883333,1,-1,0
0,10.03333,1,-6,1
1,3.716667,1,0,0
1,1.816667,1,-1,0
1,2.533333,1,0,0
0,1.45,0,-2,0
1,6.9,1,0,0
1,3.75,1,0,0
0,3.766667,0,0,0
1,2.516667,0,-2,0
0,5.8,1,0,0
1,9.15,0,1,0
0,5.25,0,-2,0
1,12.95,0,0,1
1,0.08333333,0,-1,0
1,6.683333,0,1,1
1,4.633333,1,0,1
1,1.883333,1,-1,0
0,8.233333,1,0,0
1,11.43333,1,2,1
0,7.616667,1,-3,0
1,0.7333333,0,-1,1
0,9.466667,1,1,1
0,2.366667,1,-2,0
1,8.666667,0,-4,1
1,4.816667,1,3,0
1,5.866667,1,0,1
1,3.683333,0,-1,0
1,6.5,0,-3,1
0,3.883333,0,2,0
1,14.2,0,-1,0
0,1.466667,0,0,0
1,26.9,1,5,0
0,6.733333,1,1,0
1,3.316667,0,-2,1
0,1.45,1,1,0
0,18.5,1,2,0
0,5.8,0,-1,0
1,2.416667,1,-1,1
0,3.633333,0,2,0
1,7.05,1,-1,0
1,7.533333,1,0,0
1,4.1,1,0,1
1,9.316667,1,-1,0
1,9.866667,0,1,1
1,2.566667,0,0,0
1,2.566667,1,1,1
0,2.333333,0,-3,1
1,13.4,0,-2,0
0,0.9,0,0,0
1,5.75,1,1,1
1,1.483333,0,1,0
1,2.4,0,1,1
0,4.15,0,0,0
1,6.266667,0,-3,1
0,8.75,0,-2,1
1,3.516667,0,-1,1
1,11.08333,1,2,0
0,6.033333,1,-2,0
0,9.35,1,3,0
0,9.5,0,0,1
1,2.783333,0,-1,1
0,3.866667,1,4,1
1,10.03333,1,0,0
1,5.25,1,1,0
0,8.966667,1,2,1
0,4.45,1,-3,1
0,9.85,0,0,0
1,3.55,0,2,0
0,1.583333,0,0,0
1,2.25,0,0,0
1,5.266667,1,-1,0
1,2.183333,0,-3,1
0,1.366667,1,0,0
1,1.166667,0,-1,0
0,2.55,0,3,1
0,3.55,0,-3,1
0,15.41667,0,3,0
1,6.016667,1,0,0
0,6.4,1,-3,0
0,4.216667,0,-2,1
0,2.25,1,1,0
1,3.966667,0,0,0
0,7.316667,1,0,0
1,7.366667,0,1,0
0,5.183333,0,0,0
0,11.25,1,3,1
1,22.28333,0,1,1
1,6.016667,0,2,1
0,2.45,1,1,1
0,7.4,1,3,1
1,3.05,1,0,1
1,8.233333,1,0,0
1,9.316667,0,2,1
1,1.05,1,3,1
1,3.55,1,0,1
0,9.066667,0,-1,1
1,14.78333,0,3,0
1,2.033333,1,2,1
1,4.983333,0,1,0
1,7.25,0,1,1
0,5.183333,1,-4,1
0,10.31667,1,0,0
1,1.683333,0,4,0
1,2.65,0,1,0
0,4.05,1,-2,1
1,0.6833333,0,1,0
1,2,1,-2,0
0,10.83333,0,1,1
1,10.75,0,0,0
1,2.433333,1,2,1
0,4.95,1,3,1
0,15.3,1,-2,0
0,10.13333,0,0,0
0,7.533333,0,-1,0
1,9.85,1,-1,0
0,3.566667,0,-3,0
0,9.6,0,3,0
0,3.983333,0,1,1
1,18,1,1,1
0,4.316667,1,1,0
0,2.95,1,3,0
0,2.85,1,-2,1
1,6.033333,0,1,0
1,2.316667,0,1,0
0,2.116667,1,-1,0
1,4.016667,1,-2,1
1,3.333333,0,0,1
1,16.81667,1,0,1
1,2.916667,0,0,0
0,13.2,1,-2,1
1,8.233333,1,-1,0
1,0.6833333,1,1,0
1,2.716667,1,-2,1
1,7.7,0,2,1
1,5.85,1,1,1
1,3.55,1,0,0
0,1.733333,1,1,0
0,9.35,1,1,1
1,1.066667,1,2,0
1,5.3,1,-2,0
0,18.18333,0,4,0
1,2.333333,0,0,1
0,3.15,0,-1,0
0,1.183333,0,0,0
0,8.4,1,-2,1
0,3.066667,0,0,1
0,11.11667,0,0,0
1,13.18333,0,0,0
1,2.383333,0,2,0
1,7.65,0,2,0
0,14.43333,0,-1,0
1,3.516667,0,2,1
1,6.016667,0,-2,1
0,9.783333,0,1,0
1,16.01667,1,0,1
1,1.416667,1,2,0
0,1.05,0,-5,0
0,2.183333,1,1,1
1,3.8,1,0,1
1,2.916667,1,2,0
1,3.733333,1,0,0
1,1.566667,1,4,1
0,9.15,1,0,0
1,9.666667,0,1,0
0,3.683333,0,-2,0
1,6.383333,1,2,0
1,3.55,1,4,0
1,7.45,0,0,0
0,1.016667,0,1,1
1,4.6,0,-2,1
1,8,0,0,0
0,3.516667,1,0,1
1,8.216667,0,0,1
1,1.35,1,0,0
1,3.233333,0,0,0
0,8.016667,1,-1,0
0,1.866667,1,-1,0
1,0.9666667,1,1,0
1,2.083333,0,0,0
0,1.783333,1,1,1
1,2.533333,1,0,0
1,2.766667,0,0,0
1,2.466667,0,0,0
1,8.2,1,-1,0
0,8.8,1,-2,1
1,6.533333,0,0,0
0,11.3,1,2,0
1,4.583333,0,-3,1
1,8.466667,1,-2,1
0,2.6,1,1,0
1,1.15,1,0,0
1,1.433333,1,-2,0
0,7.433333,1,3,1
1,4.516667,0,-3,1
0,7.816667,0,1,0
1,0.6166667,1,0,0
1,6.166667,1,-2,1
1,3.683333,1,0,1
0,8.95,1,4,0
0,8.966667,0,0,0
0,22.53333,0,-1,0
1,3.616667,1,0,0
1,2.95,1,2,0
0,9.75,0,-1,0
0,4.816667,0,1,0
1,1.85,1,2,1
0,2.383333,1,0,0
1,5.866667,0,0,0
0,5.366667,0,3,0
0,2.466667,0,-3,1
1,2.933333,0,2,0
1,5.566667,0,1,1
1,2.933333,0,-1,1
0,6.483333,1,1,0
1,0.95,0,0,1
1,10.81667,1,0,0
0,17.51667,1,2,0
0,11.81667,0,1,0
0,3.25,0,1,1
1,0.7,0,-3,0
0,5.35,0,0,1
1,8.866667,1,-1,0
1,1.816667,0,2,0
0,7.25,1,1,0
0,4.966667,1,2,0
1,5.016667,0,-2,1
1,2.4,0,0,0
0,4.033333,1,-1,0
1,4.25,1,0,1
1,3.9,0,-1,0
0,6.966667,1,1,1
1,1.033333,0,3,1
0,4.466667,1,0,0
1,12.46667,1,-2,0
1,2.25,1,2,1
1,7.55,0,3,0
1,2.016667,1,-2,1
0,9.366667,1,-2,0
0,11.98333,1,0,1
1,5.766667,0,-1,0
0,1.383333,0,1,1
1,10.08333,1,0,0
1,2.133333,0,2,0
0,4.766667,1,1,0
1,33.33333,1,1,1
1,5.016667,0,0,0
1,4.7,1,0,1
1,0.8333333,1,-1,0
0,7.283333,1,2,0
0,3.8,0,0,1
1,2.2,1,1,0
0,22.2,1,-3,1
1,13.51667,1,-4,1
1,5.25,0,4,1
0,2.166667,1,0,0
0,2.716667,1,2,1
0,4.666667,1,2,0
